COMPACT DATASET TABLE - CSV FORMAT
========================================================================================================================================================================================================
Total Samples: 6000, η: 0.3, Initial β0: [0, 0.3, -0.5]
========================================================================================================================================================================================================

Idx,Bias,X0,X1,y,It0_β0,It0_β1,It0_β2,It0_σ(z),It0_Error,It5_β0,It5_β1,It5_β2,It5_σ(z),It5_Error,It10_β0,It10_β1,It10_β2,It10_σ(z),It10_Error,It15_β0,It15_β1,It15_β2,It15_σ(z),It15_Error,It20_β0,It20_β1,It20_β2,It20_σ(z),It20_Error
86,1.0,0.391540,0.294341,0,0.000000,0.300000,-0.500000,0.492573,-0.492573,0.012088,0.425368,-0.370884,0.517361,-0.517361,-0.019996,0.554005,-0.237395,0.531718,-0.531718,-0.080926,0.664119,-0.122363,0.535711,-0.535711,-0.156522,0.763360,-0.018200,0.534198,-0.534198
87,1.0,0.332875,0.421897,0,0.000000,0.300000,-0.500000,0.472257,-0.472257,0.012088,0.425368,-0.370884,0.499302,-0.499302,-0.019996,0.554005,-0.237395,0.516060,-0.516060,-0.080926,0.664119,-0.122363,0.522115,-0.522115,-0.156522,0.763360,-0.018200,0.522461,-0.522461
88,1.0,0.247024,0.104890,0,0.000000,0.300000,-0.500000,0.505415,-0.505415,0.012088,0.425368,-0.370884,0.519556,-0.519556,-0.019996,0.554005,-0.237395,0.522973,-0.522973,-0.080926,0.664119,-0.122363,0.517566,-0.517566,-0.156522,0.763360,-0.018200,0.507534,-0.507534
89,1.0,0.351327,0.314359,0,0.000000,0.300000,-0.500000,0.487058,-0.487058,0.012088,0.425368,-0.370884,0.511233,-0.511233,-0.019996,0.554005,-0.237395,0.524983,-0.524983,-0.080926,0.664119,-0.122363,0.528452,-0.528452,-0.156522,0.763360,-0.018200,0.526462,-0.526462
90,1.0,0.309708,0.118202,0,0.000000,0.300000,-0.500000,0.508452,-0.508452,0.012088,0.425368,-0.370884,0.524976,-0.524976,-0.019996,0.554005,-0.237395,0.530842,-0.530842,-0.080926,0.664119,-0.122363,0.527545,-0.527545,-0.156522,0.763360,-0.018200,0.519427,-0.519427
91,1.0,0.396864,0.375971,0,0.000000,0.300000,-0.500000,0.482775,-0.482775,0.012088,0.425368,-0.370884,0.510364,-0.510364,-0.019996,0.554005,-0.237395,0.527626,-0.527626,-0.080926,0.664119,-0.122363,0.534106,-0.534106,-0.156522,0.763360,-0.018200,0.534840,-0.534840
92,1.0,0.229795,0.290554,0,0.000000,0.300000,-0.500000,0.480925,-0.480925,0.012088,0.425368,-0.370884,0.500518,-0.500518,-0.019996,0.554005,-0.237395,0.509583,-0.509583,-0.080926,0.664119,-0.122363,0.509032,-0.509032,-0.156522,0.763360,-0.018200,0.503401,-0.503401
93,1.0,0.267234,0.341961,0,0.000000,0.300000,-0.500000,0.477313,-0.477313,0.012088,0.425368,-0.370884,0.499733,-0.499733,-0.019996,0.554005,-0.237395,0.511716,-0.511716,-0.080926,0.664119,-0.122363,0.513673,-0.513673,-0.156522,0.763360,-0.018200,0.510311,-0.510311
94,1.0,0.260789,0.213612,0,0.000000,0.300000,-0.500000,0.492858,-0.492858,0.012088,0.425368,-0.370884,0.510947,-0.510947,-0.019996,0.554005,-0.237395,0.518435,-0.518435,-0.080926,0.664119,-0.122363,0.516527,-0.516527,-0.156522,0.763360,-0.018200,0.509665,-0.509665
95,1.0,0.153649,0.427946,0,0.000000,0.300000,-0.500000,0.458129,-0.458129,0.012088,0.425368,-0.370884,0.479693,-0.479693,-0.019996,0.554005,-0.237395,0.490884,-0.490884,-0.080926,0.664119,-0.122363,0.492188,-0.492188,-0.156522,0.763360,-0.018200,0.488247,-0.488247
96,1.0,0.329612,0.404172,0,0.000000,0.300000,-0.500000,0.474222,-0.474222,0.012088,0.425368,-0.370884,0.500598,-0.500598,-0.019996,0.554005,-0.237395,0.516659,-0.516659,-0.080926,0.664119,-0.122363,0.522116,-0.522116,-0.156522,0.763360,-0.018200,0.521920,-0.521920
97,1.0,0.326106,0.358354,0,0.000000,0.300000,-0.500000,0.479675,-0.479675,0.012088,0.425368,-0.370884,0.504474,-0.504474,-0.019996,0.554005,-0.237395,0.518890,-0.518890,-0.080926,0.664119,-0.122363,0.522933,-0.522933,-0.156522,0.763360,-0.018200,0.521460,-0.521460
98,1.0,0.300511,0.287048,0,0.000000,0.300000,-0.500000,0.486660,-0.486660,0.012088,0.425368,-0.370884,0.508363,-0.508363,-0.019996,0.554005,-0.237395,0.519576,-0.519576,-0.080926,0.664119,-0.122363,0.520869,-0.520869,-0.156522,0.763360,-0.018200,0.516907,-0.516907
99,1.0,0.276541,0.357986,0,0.000000,0.300000,-0.500000,0.476011,-0.476011,0.012088,0.425368,-0.370884,0.499237,-0.499237,-0.019996,0.554005,-0.237395,0.512054,-0.512054,-0.080926,0.664119,-0.122363,0.514727,-0.514727,-0.156522,0.763360,-0.018200,0.512013,-0.512013
# ... (5900 more samples)

========================================================================================================================================================================================================
